ST,id,County,Democrats2016,Democrats2012,Democrats2008,LessThanHSDiploma,AtLeastHSDiploma,AtLeastBachelors,GraduateDegree,SchoolEnrollment,MedianEarnings2010,ChildrenUnder6LivinginPoverty,Adults65andOlderLivinginPoverty,TotalPopulation,Poverty_Rate_below_federal_poverty_threshold,WhiteCollar,Service_occupations,Sales_and_office_occupations,PinkCollar,BlueCollar,White,Black,Hispanic,Asian,Amerindian,Other,MedianAge,Children_Single_Parent,Adult_smoking,Smokers,Obese,Diabetes,Uninsured,UnemploymentFrac,Unemployment,Violent_crime,Population,ViolentCrimePerCapita,NormalizedViolentCrime
AK,02240,Southeast Fairbanks,37.71,41.30,37.89,8.9,91.1,20.0,6.8,72.3,31052.73,20.6,3.80,6894,10.8,30.2,18.9,23.75,42.65,27.20,78.0,1.75,3.75,0.65,10.30,5.55,35.90,22.00,0.22,22.00,32.00,7.00,27.00,0.11,11.00,,6894,0.0000,0.00
AK,02180,Nome,37.71,41.30,37.89,16.2,83.8,14.9,4.2,69.65,22686.55,35.35,16.35,9415,23.9,35.3,17.45,24.1,41.55,23.2,16.7,1.20,1.45,0.60,73.35,6.65,27.70,47.00,0.40,40.00,36.00,8.00,29.00,0.12,12.00,,9415,0.0000,0.00
AK,02013,Aleutians East ,37.71,41.30,37.89,35.9,64.1,9.6,0.5,51.5,20785.85,19.25,13.80,3050,10.4,9.05,6.2,7.75,13.95,77.00,11.75,8.25,10.90,41.45,22.45,5.20,38.50,39.00,0.38,38.00,32.00,8.00,46.00,0.13,13.00,,3050,0.0000,0.00
AK,02220,Sitka,37.71,41.30,37.89,7.7,92.3,29.2,11.0,71.6,33014.03,8.95,0.00,8846,6.85,37.7,14.85,23.85,38.70,23.6,63.85,0.80,4.90,3.55,19.35,7.50,40.00,32.00,0.21,21.00,28.00,8.00,25.00,0.06,6.00,249.87,8846,0.0282,1.63
AK,02195,Wrangell-Petersburg,37.71,41.30,37.89,4.5,95.5,27.4,10.5,80.5,32624.72,20.65,0.85,3838,9.8,37.25,10.7,20.35,31.05,31.7,70.35,0.20,1.75,2.95,14.55,10.15,42.80,0,,0,0,0,0,,0,,3838,0.0000,0.00
AK,02100,Haines,37.71,41.30,37.89,6.0,94.0,33.1,11.7,85.9,21968.40,12.6,0.00,2466,5.9,40.8,19.1,16.45,35.55,23.6,82.95,0.40,2.55,0.25,7.70,6.20,49.60,20.00,0.14,14.00,30.00,8.00,28.00,0.08,8.00,541.11,2466,0.2194,12.65
AK,02105,Wrangell,37.71,41.30,37.89,12.4,87.6,27.9,10.4,78.9,23703.88,29.5,3.55,2096,13.8,40.3,12.45,17.95,30.40,29.35,43.95,0.20,3.85,0.55,40.40,11.10,45.70,0,,0,0,0,0,,0,,2096,0.0000,0.00
AK,02122,Kenai Peninsula,37.71,41.30,37.89,7.9,92.1,22.4,8.0,74.05,29007.19,14.1,4.90,54226,9.6,28.9,19.4,22.6,42.0,29.15,83.4,0.50,3.00,1.25,6.90,5.00,40.60,30.00,0.21,21.00,28.00,7.00,23.00,0.08,8.00,,54226,0.0000,0.00
AK,02070,Dillingham,37.71,41.30,37.89,17.4,82.6,20.2,8.5,77.05,26117.68,25.45,3.70,4896,18.2,44.1,16.05,23.15,39.20,16.75,19.1,0.20,2.65,0.75,68.10,9.25,28.90,35.00,0.39,39.00,32.00,8.00,30.00,0.10,10.00,,4896,0.0000,0.00
AK,02290,Yukon-Koyukuk,37.71,41.30,37.89,20.5,79.5,11.5,4.7,68.5,15589.35,41.3,9.90,5700,23.85,35.55,17.95,18.0,35.95,28.40,23.15,0.10,1.75,0.30,68.00,6.80,35.10,48.00,0.41,41.00,29.00,8.00,36.00,0.15,15.00,,5700,0.0000,0.00
