state,county,ctrump16,cclinton16,cotherpres16,cmedian_hh_inc,County Vote Total,ctrump16_pct,cdifference
Alabama,Autauga,18172,5936,865,53099.0,24973,0.7276658791494814,12236
Alabama,Baldwin,72883,18458,3874,51365.0,95215,0.765457123352413,54425
Alabama,Barbour,5454,4871,144,33956.0,10469,0.5209666634826631,583
Alabama,Bibb,6738,1874,207,39776.0,8819,0.7640322031976414,4864
Alabama,Blount,22859,2156,573,46212.0,25588,0.8933484445833985,20703
Alabama,Bullock,1140,3530,40,29335.0,4710,0.24203821656050956,-2390
Alabama,Butler,4901,3726,105,34315.0,8732,0.5612688960146587,1175
Alabama,Calhoun,32865,13242,1757,41954.0,47864,0.6866329600534848,19623
Alabama,Chambers,7843,5784,273,36027.0,13900,0.5642446043165468,2059
Alabama,Cherokee,8953,1547,233,38925.0,10733,0.8341563402590143,7406
Alabama,Chilton,15081,2911,377,42594.0,18369,0.8210027764167892,12170
Alabama,Choctaw,4106,3109,77,32622.0,7292,0.5630828304991772,997
Alabama,Clarke,7140,5749,142,32735.0,13031,0.5479241807996317,1391
Alabama,Clay,5245,1237,142,38815.0,6624,0.7918176328502415,4008
Alabama,Cleburne,5764,684,145,36316.0,6593,0.8742605794023964,5080
Alabama,Coffee,15875,4221,671,47872.0,20767,0.7644339577213849,11654
Alabama,Colbert,16746,7312,857,43786.0,24915,0.6721252257676099,9434
Alabama,Conecuh,3420,3080,85,27609.0,6585,0.5193621867881549,340
Alabama,Coosa,3381,1782,89,31910.0,5252,0.6437547600913938,1599
Alabama,Covington,13267,2387,286,37313.0,15940,0.8323086574654956,10880
Alabama,Crenshaw,4513,1664,90,37557.0,6267,0.720121270145205,2849
Alabama,Cullman,32989,3798,1086,39297.0,37873,0.8710426953238455,29191
Alabama,Dale,13808,4413,528,44093.0,18749,0.7364659448503921,9395
Alabama,Dallas,5789,12836,167,28136.0,18792,0.308056619838229,-7047
Alabama,DeKalb,21405,3622,799,38248.0,25826,0.8288159219391311,17783
Alabama,Elmore,27634,8443,1183,53398.0,37260,0.7416532474503489,19191
Alabama,Escambia,9935,4605,305,32334.0,14845,0.6692489053553385,5330
Alabama,Etowah,32353,10442,1369,40478.0,44164,0.7325649850557014,21911
Alabama,Fayette,6712,1362,175,36205.0,8249,0.813674384773912,5350
Alabama,Franklin,9466,2197,377,36138.0,12040,0.7862126245847176,7269
Alabama,Geneva,9994,1525,239,36519.0,11758,0.8499744854567103,8469
Alabama,Greene,838,4013,29,21339.0,4880,0.17172131147540984,-3175
Alabama,Hale,3173,4775,92,33351.0,8040,0.39465174129353237,-1602
Alabama,Henry,5632,2292,148,41045.0,8072,0.6977205153617443,3340
Alabama,Houston,30728,10664,1247,41945.0,42639,0.7206547995966134,20064
Alabama,Jackson,16672,3673,639,38422.0,20984,0.79451010293557,12999
Alabama,Jefferson,134768,156873,12550,47220.0,304191,0.4430374337176314,-22105
Alabama,Lamar,5823,1036,107,34298.0,6966,0.8359173126614987,4787
Alabama,Lauderdale,27899,9952,1674,43657.0,39525,0.7058570524984187,17947
Alabama,Lawrence,10833,3627,369,42339.0,14829,0.730528019421404,7206
Alabama,Lee,34617,21230,3344,45056.0,59191,0.5848355324289165,13387
Alabama,Limestone,29067,9468,1759,51115.0,40294,0.7213729091179828,19599
Alabama,Lowndes,1751,4883,50,27914.0,6684,0.26196888090963494,-3132
Alabama,Macon,1431,7566,143,32390.0,9140,0.15656455142231948,-6135
Alabama,Madison,89520,62822,11047,60150.0,163389,0.5478949011255347,26698
Alabama,Marengo,5233,5615,146,30713.0,10994,0.47598690194651627,-382
Alabama,Marion,11274,1432,278,34074.0,12984,0.8682994454713494,9842
Alabama,Marshall,29233,4917,1166,39831.0,35316,0.8277551251557368,24316
Alabama,Mobile,95116,72186,5435,44263.0,172737,0.5506405691889983,22930
Alabama,Monroe,5795,4332,144,28182.0,10271,0.564209911401032,1463
Alabama,Montgomery,34003,58916,2959,45358.0,95878,0.35464861594943575,-24913
Alabama,Morgan,37486,11254,1904,46883.0,50644,0.7401863991785799,26232
Alabama,Perry,1407,3824,47,24912.0,5278,0.26657824933687,-2417
Alabama,Pickens,5456,3972,114,31679.0,9542,0.5717878851393837,1484
Alabama,Pike,7693,5056,419,33193.0,13168,0.5842193195625759,2637
Alabama,Randolph,7705,2291,191,37496.0,10187,0.756356140178659,5414
Alabama,Russell,9210,9579,467,38400.0,19256,0.47829248026589116,-369
Alabama,St. Clair,31651,5589,1160,54042.0,38400,0.8242447916666666,26062
Alabama,Shelby,73020,22977,5257,72310.0,101254,0.7211566950441464,50043
Alabama,Sumter,1581,4746,84,20428.0,6411,0.2466073935423491,-3165
Alabama,Talladega,20614,12121,672,37923.0,33407,0.617056305564702,8493
Alabama,Tallapoosa,13594,5519,373,39395.0,19486,0.6976290670224776,8075
Alabama,Tuscaloosa,47723,31762,3215,48022.0,82700,0.577061668681983,15961
Alabama,Walker,24266,4497,709,37025.0,29472,0.82335776330076,19769
Alabama,Washington,6042,2374,117,40293.0,8533,0.7080745341614907,3668
Alabama,Wilcox,1737,4339,42,24442.0,6118,0.28391631252043154,-2602
Alabama,Winston,9228,872,213,33896.0,10313,0.8947929797343159,8356
Arizona,Apache,8240,17083,2338,32460.0,27661,0.2978923393948158,-8843
Arizona,Cochise,28092,17450,4473,45383.0,50015,0.5616714985504349,10642
Arizona,Coconino,21108,32404,6272,51106.0,59784,0.35307105580088316,-11296
