state,trump16,clinton16,other16,state_median_hh_inc,State Vote Total,trump16_pct,difference
New Jersey,1601933,2148278,123835,74407.66666666667,3874046,0.4135038665002945,-546345
District of Columbia,12723,282830,15715,72935.0,311268,0.040874744593083774,-270107
Connecticut,673215,897572,74133,72395.0,1644920,0.40926914378814777,-224357
Maryland,943169,1677928,160349,70159.41666666667,2781446,0.3390930472854767,-734759
Massachusetts,1090893,1995196,188466,68007.28571428571,3274555,0.33314236590926094,-904303
Hawaii,128847,266891,33199,67024.5,428937,0.3003867700851174,-138044
Rhode Island,180490,251888,31038,66994.8,463416,0.38947727311961605,-71398
New Hampshire,345790,348526,49980,62390.9,744296,0.46458666981953417,-2736
Delaware,185127,235603,22267,58561.666666666664,442997,0.41789673519233766,-50476
California,4483810,8753788,943997,58091.24137931035,14181595,0.3161710653843943,-4269978
North Dakota,216794,93758,33808,57219.88679245283,344360,0.629556278313393,123036
Wyoming,174419,55973,25457,57060.13043478261,255849,0.6817263307654124,118446
Utah,515231,310676,305523,56679.137931034486,1131430,0.4553803593682331,204555
New York,2814589,4547562,345212,56478.3870967742,7707363,0.3651818397550498,-1732973
Minnesota,1322951,1367716,254146,55559.85057471264,2944813,0.4492478809350543,-44765
Nevada,512058,539260,74067,55180.17647058824,1125385,0.4550069531760242,-27202
Virginia,1769443,1981473,233715,54078.41353383459,3984631,0.44406696630127107,-212030
Vermont,95369,178573,41135,53851.28571428572,315077,0.3026847405554833,-83204
Colorado,1202484,1338870,238866,52243.59375,2780220,0.4325139737143104,-136386
Wisconsin,1404440,1381823,189490,51908.88888888889,2975753,0.4719612145228451,22617
Washington,1221747,1742718,244749,51859.743589743586,3209214,0.3806997601281809,-520971
Iowa,800983,653669,111379,51620.22222222222,1566031,0.5114732722404601,147314
Pennsylvania,2970733,2926441,218228,51513.014925373136,6115402,0.4857788580374602,44292
Illinois,2146015,3090729,321963,51240.75490196078,5558707,0.38606370150468444,-944714
Indiana,1557286,1033126,144546,50059.815217391304,2734958,0.5694003344841128,524160
Nebraska,495961,284454,63772,49953.92473118279,844187,0.5875013474502687,211507
Ohio,2841005,2394164,261318,49741.875,5496487,0.5168765067578619,446841
South Dakota,227721,117458,24914,49129.21538461538,370093,0.615307503789588,110263
Kansas,671018,427005,86380,48559.74285714285,1184403,0.5665453397196731,244013
Texas,4685047,3877868,406311,48039.81496062992,8969226,0.5223468557933538,807179
Maine,334945,354718,54278,47553.3125,743941,0.4502305962435193,-19773
Oregon,782403,1002106,216827,46481.13888888889,2001336,0.39094035184496756,-219703
Michigan,2279543,2268839,250902,45654.156626506025,4799284,0.47497564219996147,10704
Montana,279240,177709,40198,45575.67857142857,497147,0.5616849744642932,101531
Florida,4617886,4504975,297178,45205.37313432836,9420039,0.49021941416590736,112911
Oklahoma,949136,420375,83481,45040.5974025974,1452992,0.6532286481962736,528761
Idaho,409055,189765,91613,44766.84090909091,690433,0.5924615422495738,219290
Arizona,1252401,1161167,215188,44166.53333333333,2628756,0.4764234489621707,91234
Missouri,1594511,1071068,141802,42781.321739130435,2807381,0.5679710021546772,523443
North Carolina,2362631,2189316,189617,42707.56,4741564,0.49828094696180414,173315
Louisiana,1178638,780154,70240,41937.09375,2029032,0.580886846535688,398484
Georgia,2089104,1877963,147644,41727.54716981132,4114711,0.507715851732965,211141
Tennessee,1522925,870695,114407,41394.17894736842,2508027,0.6072203369421462,652230
South Carolina,1155389,855373,92265,40876.19565217391,2103027,0.5493933268569543,300016
West Virginia,489371,188794,34886,40361.70909090909,713051,0.6863057481161936,300577
New Mexico,319667,385234,93418,40088.818181818184,798319,0.40042514333242724,-65567
Kentucky,1202971,628854,92324,40051.058333333334,1924149,0.6251963855190009,574117
Alabama,1318250,729547,75570,38834.92537313433,2123367,0.6208300307954301,588703
Arkansas,684872,380494,64530,37503.72,1129896,0.6061372020079724,304378
Mississippi,700714,485131,23512,35626.41463414634,1209357,0.5794103808883564,215583
Alaska,163387,116454,38767,76440,318608,0.5128151208,46933
